acc	455122593482029000	-9.78953	0.13533	-0.38177
acc	455122593530363000	-9.82781	0.1274	-0.39388
acc	455122593581249000	-9.81136	0.12292	-0.42782
acc	455122593631780000	-9.78774	0.15686	-0.43934
acc	455122593683094000	-9.78505	0.13563	-0.41556
acc	455122593734123000	-9.74721	0.14385	-0.42752
gyr	45512259374801400	0.11358	0.03182	-0.00373
acc	455122593840059000	-9.81376	0.12561	-0.45429
acc	455122593891219000	-9.81824	0.13443	-0.41302
acc	455122593942321000	-9.82781	0.11425	-0.43036
acc	455122593993246000	-9.77563	0.13593	-0.44681
gyr	45512259400123000	0.10888	0.0272	-0.00496
acc	455122594044287000	-9.78729	0.1129	-0.43036
gyr	45512259408475000	0.10888	0.03075	-0.0062
acc	455122594095417000	-9.82064	0.13683	-0.40823
acc	455122594146486000	-9.81839	0.1437	-0.41287
gyr	45512259416872900	0.11123	0.02832	-0.00373
acc	455122594197318000	-9.79701	0.13413	-0.44442
acc	455122594248283000	-9.7849	0.10168	-0.45235
gyr	45512259425303600	0.11122	0.02955	-0.0062
acc	455122594299081000	-9.7994	0.12696	-0.42289
gyr	45512259433704500	0.10888	0.0272	-0.00496
acc	455122594349443000	-9.816	0.14804	-0.41048
acc	455122594400440000	-9.79237	0.14998	-0.42722
gyr	45512259443395200	0.11123	0.02354	-0.00003
acc	455122594451881000	-9.81839	0.14819	-0.41287
gyr	45512259448509600	0.11588	0.02364	-0.0062
acc	455122594502696000	-9.78759	0.13847	-0.43964
gyr	45512259453611400	0.10891	0.02817	0.00367
acc	455122594553686000	-9.82542	0.12142	-0.45205
gyr	45512259458707200	0.10653	0.0225	-0.00373
acc	455122594604588000	-9.82512	0.09525	-0.39941
gyr	45512259463824400	0.11004	0.02123	-0.00126
acc	455122594655728000	-9.83275	0.14445	-0.42962
gyr	45512259468926100	0.11007	0.02704	0.0012
acc	455122594706822000	-9.79746	0.18019	-0.43635
gyr	45512259474029600	0.10537	0.02363	-0.00126
acc	455122594757832000	-9.82318	0.12785	-0.43007
gyr	45512259479131200	0.10655	0.02716	-0.0025
acc	455122594808834000	-9.83051	0.15582	-0.42229
gyr	45512259484221500	0.10888	0.0284	-0.0062
acc	455122594859902000	-9.83484	0.13055	-0.4202
gyr	45512259489339800	0.1007	0.0284	-0.00249
acc	455122594910866000	-9.81585	0.12262	-0.39896
gyr	45512259494449600	0.10538	0.02718	-0.00249
acc	455122594962005000	-9.7683	0.09854	-0.4356
gyr	45512259499563900	0.11122	0.02838	-0.0062
acc	455122595013032000	-9.78026	0.14939	-0.41272
gyr	45512259504652700	0.10655	0.02716	-0.0025
acc	455122595064057000	-9.83021	0.14879	-0.4175
gyr	45512259509756100	0.10775	0.03413	-0.00003
acc	455122595115155000	-9.79686	0.12441	-0.41332
gyr	45512259514863200	0.11121	0.02366	-0.00496
acc	455122595166122000	-9.84456	0.13772	-0.42259
gyr	45512259519967000	0.11472	0.02955	-0.00743
acc	455122595216997000	-9.82303	0.1301	-0.41795
gyr	45512259525076500	0.10536	0.02489	-0.00496
acc	455122595268232000	-9.8157	0.12471	-0.38924
gyr	45512259530177700	0.11939	0.02243	-0.0062
acc	455122595318723000	-9.80179	0.13623	-0.42513
gyr	45512259535288000	0.11588	0.02364	-0.0062
acc	455122595370318000	-9.79686	0.12023	-0.43739
gyr	45512259540384400	0.11004	0.02604	-0.0062
acc	455122595421260000	-9.80852	0.11036	-0.36756
gyr	45512259545491300	0.11122	0.02597	-0.00373
acc	455122595472401000	-9.79447	0.11739	-0.40375
gyr	45512259550596600	0.10186	0.02841	-0.00373
acc	455122595523401000	-9.80613	0.10886	-0.41825
gyr	45512259555699900	0.10304	0.02597	-0.00003
acc	455122595574437000	-9.82303	0.13428	-0.39119
gyr	45512259560803200	0.10541	0.03533	-0.00003
acc	455122595625529000	-9.75454	0.15342	-0.42962
gyr	45512259565909000	0.1089	0.02585	0.00244
acc	455122595676469000	-9.79701	0.14296	-0.41048
gyr	45512259571013200	0.10887	0.02488	-0.00619
acc	455122595727574000	-9.77069	0.13922	-0.37922
gyr	45512259576114800	0.1194	0.02598	-0.00743
acc	455122595778639000	-9.79477	0.13847	-0.4202
gyr	45512259581221900	0.11471	0.02248	-0.00619
acc	455122595829662000	-9.78535	0.13817	-0.42513
gyr	45512259586327000	0.11707	0.02832	-0.0062
acc	455122595880784000	-9.80389	0.12486	-0.4181
gyr	45512259591429800	0.11474	0.02708	-0.0025
acc	455122595931643000	-9.74976	0.16494	-0.43665
gyr	45512259596541000	0.11587	0.02493	-0.01113
acc	455122595982750000	-9.82108	0.1603	-0.43186
gyr	45512259601622400	0.10657	0.0306	0.0012
acc	455122596033832000	-9.81346	0.11828	-0.42543
gyr	45512259606751600	0.11239	0.02476	-0.0025
acc	455122596084955000	-9.81824	0.13668	-0.41302
gyr	45512259611855600	0.11356	0.03311	-0.00867
acc	455122596135932000	-9.80598	0.09929	-0.40165
